enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,3,2,10,10,0,0,0.0,0.6786501080270099,0.5019608508901845,0.4613199428294049,0.5676353275360156
twolocal,entangled,twolocal,renyi,3,2,10,10,1,4,0.0067059993743896484,0.6016341787948447,0.6083409484234082,0.4017825303684836,0.6152730536520373
twolocal,entangled,twolocal,renyi,3,2,10,10,2,9,0.015012025833129883,0.6472423159337166,0.5593988119921856,0.40325662167711934,0.6190236753702119
twolocal,entangled,twolocal,renyi,3,2,10,10,3,18,0.03049015998840332,0.8031995156939375,0.3786981710437266,0.21561760793214751,0.6422429723109297
twolocal,entangled,twolocal,renyi,3,2,10,10,4,28,0.0657651424407959,0.8279415139142113,0.34372120795477784,0.18455129151846678,0.6381164218672094
twolocal,entangled,twolocal,renyi,3,2,10,10,5,38,0.1010899543762207,0.804947140498541,0.3768969964468865,0.1546142582657663,0.6772619706072369
twolocal,entangled,twolocal,renyi,3,2,10,10,6,50,0.14558100700378418,0.8136659046092674,0.36397409237864553,0.15422683426042605,0.6771471219025835
twolocal,entangled,twolocal,renyi,3,2,10,10,7,62,0.19734692573547363,0.8088089148950597,0.3712942115653879,0.16429235892438826,0.6875468605657136
twolocal,entangled,twolocal,renyi,3,2,10,10,8,78,0.29034900665283203,0.7574219594349263,0.44338117956695455,0.2355534751956923,0.7365290217129185
twolocal,entangled,twolocal,renyi,3,2,10,10,9,92,0.3672041893005371,0.7666795897982007,0.4311204385736937,0.2365990917992099,0.7299960611782788
twolocal,entangled,twolocal,renyi,3,2,10,10,10,109,0.48307323455810547,0.7204080519085824,0.48933482079924534,0.2874315075577047,0.7491616154104406
twolocal,entangled,twolocal,renyi,3,2,10,10,11,125,0.5905892848968506,0.7491022192948114,0.45813122616910734,0.3072836565721474,0.7510625375348983
twolocal,entangled,twolocal,renyi,3,2,10,10,12,146,0.7580711841583252,0.5978712361104015,0.6459648673331845,0.23513180284171215,0.7928166695392245
twolocal,entangled,twolocal,renyi,3,2,10,10,13,164,0.9074280261993408,0.6088197855365196,0.6336944449562196,0.2512620671330138,0.7878043090005457
twolocal,entangled,twolocal,renyi,3,2,10,10,14,183,1.068838119506836,0.6110826273896014,0.6291983842999455,0.24666526376261289,0.795097066179984
twolocal,entangled,twolocal,renyi,3,2,10,10,15,205,1.2729239463806152,0.6003431549016613,0.6336652798614344,0.22179203142935006,0.7998131591624779
twolocal,entangled,twolocal,renyi,3,2,10,10,16,229,1.5104610919952393,0.5449982153035073,0.6923739386182867,0.1772872243568314,0.8199188988928701
twolocal,entangled,twolocal,renyi,3,2,10,10,17,250,1.731450080871582,0.5324468108264336,0.7189622706159837,0.15674675160185714,0.8249300980189022
twolocal,entangled,twolocal,renyi,3,2,10,10,18,276,2.0388031005859375,0.5263730120687352,0.7385239397484792,0.14354538372161033,0.8292097118446822
twolocal,entangled,twolocal,renyi,3,2,10,10,19,300,2.311589002609253,0.5228438518496706,0.7494854087723481,0.14621170798445055,0.8310586957641802
